image_name,best_model_perceptual.keras_mse,best_model_perceptual.keras_psnr,best_model_perceptual.keras_ssim,exp_lambda1e4_20251107_191941.keras_mse,exp_lambda1e4_20251107_191941.keras_psnr,exp_lambda1e4_20251107_191941.keras_ssim,exp_perc_norm_20251107_194814.keras_mse,exp_perc_norm_20251107_194814.keras_psnr,exp_perc_norm_20251107_194814.keras_ssim,exp_perc_norm_l5e4_20251107_195113.keras_mse,exp_perc_norm_l5e4_20251107_195113.keras_psnr,exp_perc_norm_l5e4_20251107_195113.keras_ssim,original_baseline_model.keras_mse,original_baseline_model.keras_psnr,original_baseline_model.keras_ssim
100.png,0.00528626,22.768517,0.842469,0.00645733,21.899473,0.843994,0.00576874,22.389191,0.849520,0.00731987,21.354965,0.839356,0.00731987,21.354965,0.839356
101.png,0.00125152,29.025618,0.923717,0.00173540,27.605997,0.927387,0.00143586,28.428869,0.933208,0.00195621,27.085854,0.929780,0.00195621,27.085854,0.929780
102.png,0.00251059,26.002235,0.794517,0.00173880,27.597511,0.845219,0.00182959,27.376453,0.838439,0.00167102,27.770189,0.820248,0.00167102,27.770189,0.820248
103.png,0.00360194,24.434639,0.855407,0.00360609,24.429628,0.872744,0.00343882,24.635904,0.878423,0.00463925,23.335524,0.867480,0.00463925,23.335524,0.867480
104.png,0.02710473,15.669548,0.824406,0.02624057,15.810266,0.846747,0.03199061,14.949775,0.840912,0.03462710,14.605838,0.831716,0.03462710,14.605838,0.831716
105.png,0.00341762,24.662762,0.836158,0.00308566,25.106524,0.844744,0.00336852,24.725605,0.845799,0.00353803,24.512388,0.845188,0.00353803,24.512388,0.845188
106.png,0.00107759,29.675482,0.937631,0.00117666,29.293501,0.940334,0.00117401,29.303295,0.943528,0.00131453,28.812290,0.940987,0.00131453,28.812290,0.940987
115.png,0.00389550,24.094370,0.880652,0.00409538,23.877054,0.900200,0.00245248,26.103952,0.902281,0.00353362,24.517801,0.890777,0.00353362,24.517801,0.890777
129.png,0.00208950,26.799585,0.907206,0.00295000,25.301773,0.903638,0.00222917,26.518560,0.908829,0.00275107,25.604977,0.903471,0.00275107,25.604977,0.903471
130.png,0.00107739,29.676250,0.931126,0.00115863,29.360561,0.929471,0.00113525,29.449070,0.929519,0.00117208,29.310440,0.925292,0.00117208,29.310440,0.925292
137.png,0.00097835,30.095039,0.917697,0.00130229,28.852911,0.922001,0.00110905,29.550470,0.922492,0.00137568,28.614817,0.915137,0.00137568,28.614817,0.915137
145.png,0.00560530,22.514013,0.809283,0.00468353,23.294270,0.821513,0.00574175,22.409559,0.824980,0.00449908,23.468765,0.824743,0.00449908,23.468765,0.824743
146.png,0.00123149,29.095697,0.934970,0.00123143,29.095919,0.939212,0.00144732,28.394339,0.940889,0.00157885,28.016598,0.939503,0.00157885,28.016598,0.939503
147.png,0.00302311,25.195459,0.910073,0.00255713,25.922472,0.911396,0.00408870,23.884151,0.909411,0.00355826,24.487621,0.905962,0.00355826,24.487621,0.905962
148.png,0.00278942,25.544865,0.909110,0.00305329,25.152321,0.909575,0.00360562,24.430202,0.909203,0.00424885,23.717285,0.902285,0.00424885,23.717285,0.902285
149.png,0.00362480,24.407154,0.864331,0.00264411,25.777205,0.876119,0.00322189,24.918894,0.877062,0.00255230,25.930681,0.875633,0.00255230,25.930681,0.875633
150.png,0.00390278,24.086262,0.889846,0.00398879,23.991587,0.890338,0.00282557,25.488939,0.899331,0.00326945,24.855246,0.896767,0.00326945,24.855246,0.896767
151.png,0.00252165,25.983156,0.928100,0.00293010,25.331179,0.927436,0.00335972,24.736969,0.927669,0.00379529,24.207554,0.926639,0.00379529,24.207554,0.926639
152.png,0.00163192,27.873009,0.917632,0.00114848,29.398752,0.925137,0.00179086,27.469381,0.928001,0.00135889,28.668161,0.927602,0.00135889,28.668161,0.927602
153.png,0.00610276,22.144739,0.883589,0.00553551,22.568422,0.892911,0.00491109,23.088221,0.901267,0.00330442,24.809052,0.907411,0.00330442,24.809052,0.907411
154.png,0.00486251,23.131393,0.856949,0.00418584,23.782171,0.860791,0.00441992,23.545858,0.875236,0.00316428,24.997246,0.885509,0.00316428,24.997246,0.885509
155.png,0.00221520,26.545877,0.917931,0.00235325,26.283312,0.919259,0.00200489,26.979101,0.921974,0.00230148,26.379934,0.920488,0.00230148,26.379934,0.920488
197.png,0.00230374,26.375662,0.933705,0.00215070,26.674202,0.938567,0.00146479,28.342230,0.947099,0.00129179,28.888077,0.946329,0.00129179,28.888077,0.946329
222.png,0.00190293,27.205778,0.949061,0.00205907,26.863283,0.955888,0.00414066,23.829306,0.954321,0.00419770,23.769882,0.952882,0.00419770,23.769882,0.952882
223.png,0.01511367,18.206301,0.898086,0.01380845,18.598549,0.906595,0.01837068,17.358746,0.900595,0.01814108,17.413368,0.899869,0.01814108,17.413368,0.899869
224.png,0.00917961,20.371759,0.814975,0.01518993,18.184443,0.804473,0.02362274,16.266697,0.794828,0.02493006,16.032766,0.790748,0.02493006,16.032766,0.790748
225.png,0.00503134,22.983162,0.854279,0.00537210,22.698559,0.864746,0.00749298,21.253452,0.859234,0.00275914,25.592255,0.865240,0.00275914,25.592255,0.865240
255.png,0.00689688,21.613476,0.756673,0.00580330,22.363251,0.790761,0.00756830,21.210014,0.787212,0.00722946,21.408941,0.785236,0.00722946,21.408941,0.785236
256.png,0.04348234,13.616870,0.746964,0.03937621,14.047660,0.771790,0.04770193,13.214641,0.758365,0.04381328,13.583941,0.749380,0.04381328,13.583941,0.749380
257.png,0.00549412,22.601017,0.875781,0.00615164,22.110086,0.886619,0.00852299,20.694078,0.889859,0.00859807,20.655989,0.886492,0.00859807,20.655989,0.886492
258.png,0.01261668,18.990551,0.739235,0.02906193,15.366756,0.711876,0.04175945,13.792452,0.695646,0.04435800,13.530279,0.690284,0.04435800,13.530279,0.690284
260.png,0.02994873,15.236216,0.630143,0.02723027,15.649480,0.641571,0.02396504,16.204218,0.658065,0.02717130,15.658895,0.636615,0.02717130,15.658895,0.636615
261.png,0.00473148,23.250029,0.858705,0.00650443,21.867908,0.862947,0.01068534,19.712114,0.858267,0.01153066,19.381456,0.854207,0.01153066,19.381456,0.854207
262.png,0.01318054,18.800667,0.756079,0.03098921,15.087894,0.728728,0.04625740,13.348188,0.708376,0.05404841,12.672170,0.695194,0.05404841,12.672170,0.695194
266.png,0.02533258,15.963206,0.496828,0.02587753,15.870771,0.503147,0.03078160,15.117088,0.492207,0.02202886,16.570080,0.516777,0.02202886,16.570080,0.516777
268.png,0.00807586,20.928112,0.843631,0.00787212,21.039082,0.853645,0.01306339,18.839439,0.845758,0.01029429,19.874035,0.853293,0.01029429,19.874035,0.853293
269.png,0.00869037,20.609615,0.875938,0.01085026,19.645596,0.880217,0.01208165,19.178738,0.880166,0.01266779,18.972992,0.875976,0.01266779,18.972992,0.875976
270.png,0.00498866,23.020161,0.902540,0.00554669,22.559660,0.905174,0.00659278,21.809317,0.904189,0.00703611,21.526670,0.899454,0.00703611,21.526670,0.899454
271.png,0.00230024,26.382267,0.906476,0.00242296,26.156538,0.916042,0.00319999,24.948509,0.911338,0.00327964,24.841732,0.908265,0.00327964,24.841732,0.908265
272.png,0.01402636,18.530550,0.820576,0.01646169,17.835253,0.821566,0.01709542,17.671200,0.823168,0.01809794,17.423710,0.815406,0.01809794,17.423710,0.815406
273.png,0.00362138,24.411251,0.828622,0.00341155,24.670485,0.855401,0.00372534,24.288340,0.854077,0.00402752,23.949625,0.846144,0.00402752,23.949625,0.846144
274.png,0.00220651,26.562939,0.850300,0.00172568,27.630396,0.864062,0.00240537,26.188179,0.853008,0.00213767,26.700594,0.849930,0.00213767,26.700594,0.849930
275.png,0.00257911,25.885302,0.911550,0.00170112,27.692642,0.921375,0.00301847,25.202126,0.918842,0.00216325,26.648941,0.919219,0.00216325,26.648941,0.919219
276.png,0.00257489,25.892420,0.849716,0.00346217,24.606520,0.860414,0.00330486,24.808474,0.864661,0.00386779,24.125374,0.856158,0.00386779,24.125374,0.856158
277.png,0.05245314,12.802284,0.808202,0.05189480,12.848761,0.812647,0.05919170,12.277391,0.807331,0.05827616,12.345091,0.808373,0.05827616,12.345091,0.808373
278.png,0.00199112,27.009027,0.889632,0.00251358,25.997066,0.897425,0.00330607,24.806879,0.892731,0.00298345,25.252811,0.887989,0.00298345,25.252811,0.887989
279.png,0.00167413,27.762110,0.897736,0.00140545,28.521832,0.912643,0.00169978,27.696075,0.912001,0.00149941,28.240805,0.911567,0.00149941,28.240805,0.911567
280.png,0.00324098,24.893232,0.859853,0.00301750,25.203527,0.869827,0.00435742,23.607708,0.864849,0.00337811,24.713263,0.863838,0.00337811,24.713263,0.863838
281.png,0.01470621,18.324993,0.843826,0.01572552,18.033949,0.837672,0.01227362,19.110273,0.854300,0.01558563,18.072754,0.845113,0.01558563,18.072754,0.845113
283.png,0.00296821,25.275059,0.897053,0.00218998,26.595606,0.919164,0.00410887,23.862772,0.916392,0.00133290,28.752014,0.908473,0.00133290,28.752014,0.908473
284.png,0.05312696,12.746850,0.832495,0.05236486,12.809601,0.837140,0.05979403,12.233421,0.829317,0.05784601,12.377265,0.828450,0.05784601,12.377265,0.828450
285.png,0.00513306,22.896231,0.809510,0.00412557,23.845160,0.828058,0.00473139,23.250111,0.826188,0.00404512,23.930689,0.821791,0.00404512,23.930689,0.821791
286.png,0.00255439,25.927124,0.869632,0.00218877,26.598003,0.881254,0.00312245,25.055038,0.874704,0.00288538,25.397963,0.871217,0.00288538,25.397963,0.871217
287.png,0.00199917,26.991493,0.914120,0.00208763,26.803471,0.917110,0.00349571,24.564642,0.916040,0.00295952,25.287785,0.913407,0.00295952,25.287785,0.913407
289.png,0.00121186,29.165468,0.911599,0.00102496,29.892950,0.926546,0.00151558,28.194210,0.924746,0.00152693,28.161816,0.922400,0.00152693,28.161816,0.922400
29.png,0.05237244,12.808972,0.774948,0.05910812,12.283528,0.755081,0.05462374,12.626184,0.762360,0.05844194,12.332754,0.747104,0.05844194,12.332754,0.747104
294.png,0.00277598,25.565838,0.837921,0.00316394,24.997709,0.855127,0.00343320,24.643005,0.852743,0.00399762,23.981981,0.838436,0.00399762,23.981981,0.838436
295.png,0.00160263,27.951668,0.889882,0.00170257,27.688950,0.890106,0.00186516,27.292831,0.889017,0.00231336,26.357563,0.881910,0.00231336,26.357563,0.881910
298.png,0.00236240,26.266466,0.873682,0.00294049,25.315796,0.879146,0.00283625,25.472551,0.877457,0.00385816,24.136200,0.872073,0.00385816,24.136200,0.872073
30.png,0.04084392,13.888725,0.696313,0.04354011,13.611105,0.675155,0.04042496,13.933503,0.705682,0.04339548,13.625555,0.691144,0.04339548,13.625555,0.691144
